game_type,path,L_window,reasoning_mode,p_bin,rounds,coop_rate,avg_p,mean_points1,mean_points2
PD,down,5,baseline,0,3,1.0,0.8155778894472362,8.0,8.0
PD,down,5,baseline,1,2,1.0,0.8256281407035175,8.0,8.0
PD,down,5,baseline,2,2,1.0,0.8336683417085426,8.0,8.0
PD,down,5,baseline,3,2,1.0,0.8417085427135678,8.0,8.0
PD,down,5,baseline,4,3,1.0,0.8517587939698492,8.0,8.0
PD,down,5,baseline,5,4,1.0,0.8618090452261307,8.0,8.0
PD,down,5,baseline,6,4,1.0,0.8698492462311558,8.0,8.0
PD,down,5,baseline,7,6,1.0,0.877889447236181,8.0,8.0
PD,down,5,baseline,8,6,1.0,0.885929648241206,8.0,8.0
PD,down,5,baseline,9,12,0.9166666666666666,0.8966499162479061,8.166666666666666,7.333333333333333
