experiment_name,game_type,horizon_type,T_value,P_value,T_in_prompt,p_in_prompt,player1,player2,success_rate,cooperation_rate,coordination_rate,avg_game_length,total_games,avg_score_p1,avg_score_p2
exp2_bos_deepseek_vs_chatpgt_T_and_p,BOS,fixed,120.0,,1,0,deep,gpt,0.9083333333333333,0.0,0.9083333333333333,120.0,5,9.078333333333333,6.363333333333333
exp2_bos_deepseek_vs_chatpgt_T_and_p,BOS,continuation,,0.3,0,1,deep,gpt,0.6666666666666666,0.0,0.6666666666666666,1.8,5,6.666666666666667,4.666666666666667
exp2_bos_deepseek_vs_chatpgt_T_and_p,BOS,continuation,,0.4,0,1,deep,gpt,0.4166666666666667,0.0,0.4166666666666667,2.4,5,4.166666666666667,2.9166666666666665
exp2_bos_deepseek_vs_chatpgt_T_and_p,BOS,continuation,,0.5,0,1,deep,gpt,0.7692307692307693,0.0,0.7692307692307693,2.6,5,7.6923076923076925,5.384615384615385
exp2_bos_deepseek_vs_chatpgt_T_and_p,BOS,continuation,,0.6,0,1,deep,gpt,0.8666666666666667,0.0,0.8666666666666667,3.0,5,8.666666666666666,6.066666666666666
exp2_bos_deepseek_vs_chatpgt_T_and_p,BOS,continuation,,0.7,0,1,deep,gpt,0.631578947368421,0.0,0.631578947368421,3.8,5,6.315789473684211,4.421052631578948
exp2_bos_deepseek_vs_kimi_T_and_p,BOS,fixed,40.0,,1,0,deep,kimi,0.885,0.0,0.885,40.0,5,6.195,8.85
exp2_bos_deepseek_vs_kimi_T_and_p,BOS,fixed,60.0,,1,0,deep,kimi,0.7633333333333333,0.0,0.7633333333333333,60.0,5,5.343333333333334,7.633333333333334
exp2_bos_deepseek_vs_kimi_T_and_p,BOS,fixed,80.0,,1,0,deep,kimi,0.88,0.0,0.88,80.0,5,6.16,8.8
exp2_bos_deepseek_vs_kimi_T_and_p,BOS,fixed,100.0,,1,0,deep,kimi,0.776,0.0,0.776,100.0,5,5.432,7.76
exp2_bos_deepseek_vs_kimi_T_and_p,BOS,fixed,120.0,,1,0,deep,kimi,0.9066666666666666,0.0,0.9066666666666666,120.0,5,6.346666666666667,9.066666666666666
exp2_bos_deepseek_vs_kimi_T_and_p,BOS,continuation,,0.3,0,1,deep,kimi,0.0,0.0,0.0,1.8,5,0.0,0.0
exp2_bos_deepseek_vs_kimi_T_and_p,BOS,continuation,,0.4,0,1,deep,kimi,0.9166666666666666,0.0,0.9166666666666666,2.4,5,9.166666666666666,6.416666666666667
exp2_bos_deepseek_vs_kimi_T_and_p,BOS,continuation,,0.5,0,1,deep,kimi,0.3076923076923077,0.0,0.3076923076923077,2.6,5,3.076923076923077,2.1538461538461537
exp2_bos_deepseek_vs_kimi_T_and_p,BOS,continuation,,0.6,0,1,deep,kimi,0.0,0.0,0.0,3.0,5,0.0,0.0
exp2_bos_deepseek_vs_kimi_T_and_p,BOS,continuation,,0.7,0,1,deep,kimi,0.0,0.0,0.0,3.8,5,0.0,0.0
exp2_bos_chatgpt_vs_kimi_T_and_p,BOS,fixed,40.0,,1,0,gpt,kimi,0.925,0.0,0.925,40.0,5,6.475,9.25
exp2_bos_chatgpt_vs_kimi_T_and_p,BOS,fixed,60.0,,1,0,gpt,kimi,0.93,0.0,0.93,60.0,5,6.51,9.3
exp2_bos_chatgpt_vs_kimi_T_and_p,BOS,fixed,80.0,,1,0,gpt,kimi,0.9575,0.0,0.9575,80.0,5,6.7025,9.575
exp2_bos_chatgpt_vs_kimi_T_and_p,BOS,fixed,100.0,,1,0,gpt,kimi,0.956,0.0,0.956,100.0,5,6.692,9.56
exp2_bos_chatgpt_vs_kimi_T_and_p,BOS,fixed,120.0,,1,0,gpt,kimi,0.975,0.0,0.975,120.0,5,6.825,9.75
exp2_bos_chatgpt_vs_kimi_T_and_p,BOS,continuation,,0.3,0,1,gpt,kimi,0.2222222222222222,0.0,0.2222222222222222,1.8,5,2.2222222222222223,1.5555555555555556
exp2_bos_chatgpt_vs_kimi_T_and_p,BOS,continuation,,0.4,0,1,gpt,kimi,0.25,0.0,0.25,2.4,5,2.0,2.25
exp2_bos_chatgpt_vs_kimi_T_and_p,BOS,continuation,,0.5,0,1,gpt,kimi,0.6923076923076923,0.0,0.6923076923076923,2.6,5,6.923076923076923,4.846153846153846
exp2_bos_chatgpt_vs_kimi_T_and_p,BOS,continuation,,0.6,0,1,gpt,kimi,0.0,0.0,0.0,3.0,5,0.0,0.0
exp2_bos_chatgpt_vs_kimi_T_and_p,BOS,continuation,,0.7,0,1,gpt,kimi,0.0,0.0,0.0,3.8,5,0.0,0.0
