experiment_name,experiment_id,game_scenario,reasoning_mode,p_trend,p_start,p_end,p_change,player1,player2,success_rate,cooperation_rate,coordination_rate,avg_game_length,total_games,avg_score_p1,avg_score_p2,has_memory,memory_window
exp4_bos_deepseek_vs_kimi_up,13,BOS,cot,up,0.5,0.5020100502512563,0.0020100502512563345,deepseek,kimi,0.8333333333333334,0.0,0.8333333333333334,2.4,5,5.833333333333333,8.333333333333334,True,5
exp4_bos_deepseek_vs_kimi_up,13,BOS,scot,up,0.5,0.5020100502512563,0.0020100502512563345,deepseek,kimi,0.5,0.0,0.5,2.4,5,3.5,5.0,True,5
exp4_bos_deepseek_vs_kimi_down,14,BOS,baseline,down,1.0,0.984924623115578,0.015075376884421954,deepseek,kimi,1.0,1.0,1.0,21.4,5,10.0,7.0,True,5
exp4_bos_deepseek_vs_kimi_down,14,BOS,cot,down,1.0,0.984924623115578,0.015075376884421954,deepseek,kimi,0.6915887850467289,0.028037383177570093,0.6915887850467289,21.4,5,4.925233644859813,6.831775700934579,True,5
exp4_bos_deepseek_vs_kimi_down,14,BOS,scot,down,1.0,0.984924623115578,0.015075376884421954,deepseek,kimi,0.9345794392523364,0.056074766355140186,0.9345794392523364,21.4,5,6.710280373831775,9.177570093457945,True,5
exp4_bos_deepseek_vs_kimi_random,15,BOS,baseline,random,0.5,0.504560235830991,0.004560235830990966,deepseek,kimi,1.0,1.0,1.0,2.4,5,10.0,7.0,True,5
exp4_bos_deepseek_vs_kimi_random,15,BOS,cot,random,0.5,0.504560235830991,0.004560235830990966,deepseek,kimi,0.75,0.0,0.75,2.4,5,5.25,7.5,True,5
exp4_bos_deepseek_vs_kimi_random,15,BOS,scot,random,0.5,0.504560235830991,0.004560235830990966,deepseek,kimi,0.5833333333333334,0.0,0.5833333333333334,2.4,5,4.083333333333333,5.833333333333333,True,5
exp4_bos_chatgpt_vs_kimi_up,16,BOS,baseline,up,0.5,0.5020100502512563,0.0020100502512563345,gpt,kimi,1.0,1.0,1.0,2.4,5,10.0,7.0,True,5
exp4_bos_chatgpt_vs_kimi_up,16,BOS,cot,up,0.5,0.5020100502512563,0.0020100502512563345,gpt,kimi,0.8333333333333334,0.08333333333333333,0.8333333333333334,2.4,5,6.083333333333333,8.083333333333334,True,5
exp4_bos_chatgpt_vs_kimi_up,16,BOS,scot,up,0.5,0.5020100502512563,0.0020100502512563345,gpt,kimi,0.5,0.0,0.5,2.4,5,3.5,5.0,True,5
exp4_bos_chatgpt_vs_kimi_down,17,BOS,baseline,down,1.0,0.984924623115578,0.015075376884421954,gpt,kimi,1.0,1.0,1.0,21.4,5,10.0,7.0,True,5
exp4_bos_chatgpt_vs_kimi_down,17,BOS,cot,down,1.0,0.984924623115578,0.015075376884421954,gpt,kimi,0.5420560747663551,0.06542056074766354,0.5420560747663551,21.4,5,3.9906542056074765,5.224299065420561,True,5
exp4_bos_chatgpt_vs_kimi_down,17,BOS,scot,down,1.0,0.984924623115578,0.015075376884421954,gpt,kimi,0.9252336448598131,0.0,0.9252336448598131,21.4,5,6.4766355140186915,9.25233644859813,True,5
exp4_bos_chatgpt_vs_kimi_random,18,BOS,baseline,random,0.5,0.504560235830991,0.004560235830990966,gpt,kimi,1.0,1.0,1.0,2.4,5,10.0,7.0,True,5
exp4_bos_chatgpt_vs_kimi_random,18,BOS,cot,random,0.5,0.504560235830991,0.004560235830990966,gpt,kimi,0.5,0.08333333333333333,0.5,2.4,5,3.75,4.75,True,5
exp4_bos_chatgpt_vs_kimi_random,18,BOS,scot,random,0.5,0.504560235830991,0.004560235830990966,gpt,kimi,0.3333333333333333,0.0,0.3333333333333333,2.4,5,2.3333333333333335,3.3333333333333335,True,5
